date,volume_usd,revenue_observed_usd,revenue_estimated_usd,revenue_blended_usd,revenue_100_usd,revenue_50_usd
2024-02-04,602771864.0,,160964.14887718446,160964.14887718446,160964.14887718446,80482.07443859223
2024-02-05,868203004.0,,231844.85862378404,231844.85862378404,231844.85862378404,115922.42931189202
2024-02-06,1187737106.0,,317173.218883256,317173.218883256,317173.218883256,158586.609441628
2024-02-07,919083977.0,,245432.10945967905,245432.10945967905,245432.10945967905,122716.05472983952
2024-02-08,951960256.0,,254211.3882939079,254211.3882939079,254211.3882939079,127105.69414695395
2024-02-09,1083948046.0,,289457.3968559972,289457.3968559972,289457.3968559972,144728.6984279986
2024-02-10,859555594.0,,229535.65497017413,229535.65497017413,229535.65497017413,114767.82748508707
2024-02-11,849792912.0,,226928.62917361403,226928.62917361403,226928.62917361403,113464.31458680701
2024-02-12,1656328555.0,,442305.84079908516,442305.84079908516,442305.84079908516,221152.92039954258
2024-02-13,1331074053.0,,355449.9053951352,355449.9053951352,355449.9053951352,177724.9526975676
2024-02-14,1022281116.0,,272989.8649518888,272989.8649518888,272989.8649518888,136494.9324759444
2024-02-15,1255340255.0,,335225.95821981283,335225.95821981283,335225.95821981283,167612.97910990642
2024-02-16,1100307028.0,,293825.8980608364,293825.8980608364,293825.8980608364,146912.9490304182
2024-02-17,752925975.0,,201061.2903016974,201061.2903016974,201061.2903016974,100530.6451508487
2024-02-18,870518954.0,,232463.30972088454,232463.30972088454,232463.30972088454,116231.65486044227
2024-02-19,1114226086.0,,297542.8421618341,297542.8421618341,297542.8421618341,148771.42108091706
2024-02-20,1581044233.0,,422201.9216577533,422201.9216577533,422201.9216577533,211100.96082887665
2024-02-21,1403081401.0,,374678.741669622,374678.741669622,374678.741669622,187339.370834811
2024-02-22,1248963421.0,,333523.0889940835,333523.0889940835,333523.0889940835,166761.54449704176
2024-02-23,1114503989.0,,297617.0533560471,297617.0533560471,297617.0533560471,148808.52667802354
2024-02-24,745400262.0,,199051.62452250806,199051.62452250806,199051.62452250806,99525.81226125403
2024-02-25,1005574656.0,,268528.57325057156,268528.57325057156,268528.57325057156,134264.28662528578
2024-02-26,1472529815.0,,393224.24041967705,393224.24041967705,393224.24041967705,196612.12020983853
2024-02-27,1749777095.0,,467260.331217894,467260.331217894,467260.331217894,233630.165608947
2024-02-28,3110325961.0,,830581.1882469946,830581.1882469946,830581.1882469946,415290.5941234973
2024-02-29,1590500561.0,,424727.13870740554,424727.13870740554,424727.13870740554,212363.56935370277
2024-03-01,1630498570.0,,435408.2037338033,435408.2037338033,435408.2037338033,217704.10186690165
2024-03-02,1163021728.0,,310573.2263793791,310573.2263793791,310573.2263793791,155286.61318968955
2024-03-03,1305964939.0,,348744.7696622733,348744.7696622733,348744.7696622733,174372.38483113665
2024-03-04,3646441183.0,,973745.3529388834,973745.3529388834,973745.3529388834,486872.6764694417
2024-03-05,3074908888.0,,821123.4159924388,821123.4159924388,821123.4159924388,410561.7079962194
2024-03-06,1962698948.0,,524118.96529225743,524118.96529225743,524118.96529225743,262059.48264612872
2024-03-07,1564226697.0,,417710.9682305518,417710.9682305518,417710.9682305518,208855.4841152759
2024-03-08,1755335448.0,,468744.63334484916,468744.63334484916,468744.63334484916,234372.31667242458
2024-03-09,877654711.0,,234368.8416819772,234368.8416819772,234368.8416819772,117184.4208409886
